"Address","Date time","Minimum Temperature","Maximum Temperature","Temperature","Dew Point","Relative Humidity","Heat Index","Wind Speed","Wind Gust","Wind Direction","Wind Chill","Precipitation","Precipitation Cover","Snow Depth","Visibility","Cloud Cover","Sea Level Pressure","Weather Type","Latitude","Longitude","Resolved Address","Name","Info","Conditions"
"Kolkata,West Bengal,India","01/01/2017","14","25.3","19.9","16.5","82.47","","5.8","","78.33","","0","0","0","1.2","4.9","1015.9","Mist, Fog, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/02/2017","16","26","20.6","16","76.76","","8.1","","148.54","","0","0","0","1.4","0.3","1015.6","Mist, Fog, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/03/2017","16","27","21.1","15.6","73.12","27.3","9.2","","244.92","","0","0","0","1.6","10.7","1014.7","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/04/2017","16","25","19.9","14.5","72.57","","8.1","","244.38","","0","0","0","1.8","2.3","1014.6","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/05/2017","15","25.6","19.6","13.7","71.88","","8.1","","231.58","","0","0","0","1.9","0","1013.7","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/06/2017","13","24.6","18.5","11.8","68.36","","11.4","","135.88","","0","0","0","1.8","0","1013.9","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/07/2017","11","25.3","17.8","11.5","70.19","","8.1","","136.92","","0","0","0","1.7","2.1","1012.5","Mist, Fog, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/08/2017","12","26.2","19.1","12","67.1","","8.1","","50.38","","0","0","0","1.8","0","1012.3","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/09/2017","13","27","20","12.9","67.08","26.8","5.8","","27.46","","0","0","0","1.9","0","1012.1","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/10/2017","15","23.2","19","12.9","69.32","","16.1","","70.08","","0","0","0","1.8","19.4","1013","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/11/2017","15","24.5","19.3","13","68.48","","9.2","","182.33","","0","0","0","2","26.8","1013.6","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Partially cloudy"
"Kolkata,West Bengal,India","01/12/2017","14","22.6","18.2","10","61.04","","11.4","","74.92","","0","0","0","2","17.3","1014.1","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/13/2017","12","22.5","16.8","8","58.38","","11.4","","88","","0","0","0","2","0","1015.2","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/14/2017","11","21.1","15.7","5.8","54.81","","12.8","","138.46","","0","0","0","2.1","1.7","1016.7","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/15/2017","10","23.2","16.3","8.1","60.9","","9.2","","216.58","9.1","0","0","0","2","0.2","1016.8","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/16/2017","11","24","17.1","9.3","63.3","","8.1","","118.92","","0","0","0","1.7","0","1015.8","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/17/2017","12","26.2","18.5","11","65.98","","8.1","","96.04","","0","0","0","1.7","0","1015.7","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/18/2017","14","26.8","19.5","11.6","63.51","26.5","10.3","","66.46","","0","0","0","1.8","0","1018.4","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/19/2017","14","27","19.5","12.1","64.69","26.7","11.4","","95.46","","0","0","0","1.8","0","1018.1","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/20/2017","14","27","19.6","11.3","62.57","26.3","9.2","","106.88","","0","0","0","1.9","10.5","1017.6","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/21/2017","13","26","19","10.8","63.68","","11.4","","135.71","","0","0","0","2","0","1018.3","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/22/2017","13","26","18.8","10.5","62.26","","11.4","","248.25","","0","0","0","2.1","0","1018.4","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/23/2017","13","27","19.5","11.6","64.19","26.5","11.4","","134.92","","0","0","0","1.8","0","1017.3","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/24/2017","15.5","27","20.6","13.3","66.41","26.7","10.3","","133.5","","0","0","0","1.7","1.5","1017.8","Mist, Fog, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/25/2017","15","28","21","14.7","70.3","27.6","9.2","","127.75","","0","0","0","1.7","0","1017.9","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/26/2017","16","30","22.6","14.7","64.32","29.2","5.8","","92.83","","0","0","0","2","11.1","1016.7","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/27/2017","18","26","21.6","17","76.4","","5.8","","147.75","","0.38","8.33","0","1.4","46","1015","Mist, Rain, Sky Coverage Increasing, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Rain, Partially cloudy"
"Kolkata,West Bengal,India","01/28/2017","16","25.9","20.7","15.5","73.49","","11.4","","247.25","","0","0","0","1.6","4.7","1014.7","Mist, Fog, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/29/2017","15","24.1","19.3","12.8","67.53","","10.3","","121.63","","0","0","0","2.3","0","1015.9","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
"Kolkata,West Bengal,India","01/30/2017","15","26","20.1","12.9","66.25","","8.1","","194.13","","0","0","0","2.1","0","1014.5","Mist, Smoke Or Haze","22.5705","88.3713","Kolkata, WB, India","Kolkata, WB, India","","Clear"
